##########################################################################################################################
; start a line with a semicolon for a comment
# start a line with a # for a comment
##########################################################################################################################

##########################################################################################################################
[ Mission Topic name ]		[ Mission project Name ]	 [Tag in Project ]	[ Mission base Priority ] 
##########################################################################################################################

<ODIN> # GAME MODE
#_______________________________
{MATCHED_GAME} # GAME TYPE

BOSS				AI_Mission			OdinGuardianMission					10
KILL				AI_Mission			OdinGuardianMission					15
PUSH				AI_Mission			OdinGuardianMission					2
DEFEND				AI_Mission			OdinGuardianMission					2

<CLASSIC> # GAME MODE
#_______________________________
{MATCHED_GAME} # GAME TYPE

BARON				AI_Mission			NeutralMinion				10
BOSS				AI_Mission			PushMission					10
KILL				AI_Mission			PushMission					15
PUSH				AI_Mission			PushMission					2
DEFEND				AI_Mission			PushMission					2

#_______________________________
{PRACTICE_GAME} # GAME TYPE
BARON				AI_Mission			NeutralMinion				10
BOSS				AI_Mission			PushMission					10
KILL				AI_Mission			PushMission					15
PUSH				AI_Mission			BasicTutorialPushMission	2
DEFEND				AI_Mission			PushMission					2

<TUTORIAL> # GAME MODE
#_______________________________
{TUTORIAL_GAME} # GAME TYPE

PUSH				AI_Mission			BasicTutorialPushMission	2
BARON				AI_Mission			NeutralMinion				10
BOSS				AI_Mission			PushMission					10
KILL				AI_Mission			PushMission					15
DEFEND				AI_Mission			PushMission					2

##########################################################################################################################
