-237 151 9257 111 0 32 497
425 112 3947 0 66 150 298
-130 154 8911 106 0 36 564
-498 130 8491 106 0 36 564
363 156 9244 106 0 36 564
-690 355 7763 106 0 36 564
7372 58 7773 2 41 86 874
8146 29 8828 59 0 15 586
4462 52 6651 0 59 99 453
8745 59 4660 0 76 51 608
9290 -3 6571 0 77 143 409
6836 29 9023 102 0 14 652
5986 -41 7779 0 28 85 675
7771 29 9344 0 58 93 785
6618 35 9254 55 21 14 652
6713 150 8328 32 38 18 741
5563 84 8311 62 17 32 675
5151 37 8302 80 12 14 675
4737 84 7922 0 58 12 675
3677 107 7673 75 51 12 675
5015 74 8893 14 59 43 675
3238 69 9782 15 77 12 675
6146 54 8615 0 49 8 675
7160 43 8617 14 46 17 675
4747 -67 9916 0 62 15 675
6674 -28 10180 62 32 15 675
5512 53 10524 140 0 32 342
5689 -50 10082 14 69 86 675
7113 -28 10155 70 26 15 675
6198 -65 10161 58 14 55 675
8047 0 10170 65 0 15 719
8546 16 10056 0 46 52 719
7603 10 10124 66 17 15 719
8906 -2 10030 0 62 77 719
9345 -25 10172 0 36 15 719
10148 -51 10045 0 46 0 719
9226 1 9383 0 45 69 896
8311 -72 8407 97 12 32 608
8602 -20 8779 77 21 15 497
8679 83 7928 18 49 17 675
8731 -18 8320 14 28 52 342
9746 -20 10224 0 51 15 719
10156 112 9773 9 56 11 453
7806 86 8445 62 24 15 586
5697 193 8813 168 97 0 298
5543 211 8971 189 92 0 187
4632 138 8894 189 87 0 187
4005 170 10473 206 107 0 342
8394 166 10392 175 83 0 187
9157 258 8844 184 85 0 364
7175 221 10475 191 92 0 187
8483 50 10312 213 109 0 165
7913 343 5960 109 69 0 231
8980 244 8917 178 89 0 231
5641 160 8062 222 96 0 253
7348 140 10407 195 103 0 187
5274 225 7770 162 89 0 320
7706 111 7975 204 99 0 187
7576 94 8103 208 85 0 187
8244 39 10436 188 82 0 187
7030 211 9783 198 100 0 253
3837 266 10513 172 83 0 187
3992 176 9554 170 93 0 253
6749 338 9674 255 121 0 187
7499 152 8850 111 41 0 298
7159 158 9585 192 80 0 187
6576 275 9683 233 114 0 187
3654 158 10448 177 92 0 231
6858 205 9393 205 93 0 231
3776 26 10395 182 68 0 187
7382 85 8729 195 66 0 231
5571 101 8712 111 46 0 276
5429 129 9752 255 128 0 253
4752 56 10485 140 0 32 342
5199 53 10065 32 53 15 675
4375 162 10357 140 0 32 342
7040 102 10561 140 0 24 342
5184 266 10498 140 0 32 342
6420 113 10536 140 0 24 342
7690 136 10379 93 0 24 342
8585 102 10407 93 0 24 342
5944 146 10570 140 0 32 342
2723 102 10175 111 0 32 342
3352 47 10445 111 0 32 342
3032 138 10375 111 0 32 342
2835 195 10631 111 0 32 342
1786 81 10255 131 0 32 475
9886 75 10627 93 0 24 342
9086 58 10441 93 0 24 342
11359 103 10209 93 0 24 342
9467 78 10639 93 0 24 342
5315 122 7679 158 58 0 209
11730 27 10152 93 0 24 342
11704 131 10457 93 0 24 342
11318 223 10560 72 18 7 342
11007 184 10325 93 0 24 342
10572 214 10498 93 0 24 342
10509 117 10196 93 0 24 342
9062 164 8750 120 60 0 253
6659 176 9578 143 43 0 187
6441 1 9697 90 9 15 276
4351 9 8831 90 9 15 276
7278 -66 9802 90 9 15 276
4516 52 8505 90 9 15 276
5865 32 8835 90 9 15 276
4437 181 8917 90 9 15 276
4132 93 9030 90 9 15 276
3922 209 9215 90 9 15 276
5493 143 7511 90 9 15 276
6066 97 7402 90 9 15 276
5725 90 7495 90 9 15 276
6924 110 7407 73 9 15 276
6445 171 7362 90 9 15 276
6710 111 7356 73 9 15 276
7187 104 7386 73 9 15 276
8250 15 7760 82 9 15 276
7451 106 7466 48 9 15 276
8929 28 8539 102 9 15 276
7986 141 7611 68 9 15 276
8008 80 8948 79 9 15 276
8900 0 8302 60 9 15 276
8253 18 9320 102 9 15 276
8781 -16 8917 102 9 15 276
8485 18 9553 102 9 15 276
7186 24 7088 0 68 97 276
7788 74 7194 0 76 104 276
5383 9 7293 0 70 97 298
6356 19 7108 0 69 97 431
5335 83 8783 99 62 0 542
4758 37 8736 99 62 0 364
5058 -15 8266 99 62 0 143
5815 18 8525 117 62 0 364
7353 62 8570 83 52 0 586
7216 37 9277 83 52 0 586
5639 28 7979 62 38 0 209
7593 40 7965 62 38 0 209
5587 22 9580 119 68 0 808
4195 7 9471 119 68 0 652
3953 23 10157 120 68 0 475
9732 132 9519 102 9 15 276
9365 15 9017 102 9 15 276
9559 60 9356 102 9 15 276
9537 63 9606 102 9 15 276
4189 35 7415 0 48 97 298
4245 130 8164 0 70 97 298
3999 23 8609 0 73 97 409
3488 183 9623 0 178 55 231
